Category,Number_Of_Companies,Total_estimated_monthly_sales,Avg_estimated_monthly_sales,height_ft,height_px,floors,completed,image
Apparel,1728,"$3,516,006.57","$2,034.73",0,346,0,0,1.jpg
Beauty & Fitness,821,"$1,076,789.86","$2,588.44",0,164,0,0,6.jpg
Home & Garden,416,"$14,582,391.48","$35,480.27",0,83,0,0,10.jpg
Food & Drink,411,"$3,424,639.47","$26,343.38",0,82,0,0,2.jpg
Toys & Hobbies,130,"$2,951,985.97","$25,669.44",0,26,0,0,3.jpg
Consumer Electronics,115,"$3,350,822.80","$33,508.23",0,23,0,0,7.jpg
Pets & Animals,100,"$2,979,801.71","$34,648.86",0,20,0,0,5.jpg
People & Society,86,"$3,358,791.44","$39,985.61",0,17,0,0,4.jpg
Sports,84,"$4,875,396.20","$64,149.95",0,17,0,0,9.jpg
Arts & Entertainment,76,"$3,032,301.04","$39,898.70",0,15,0,0,8.jpg